annee,ville,temps
1999,MARSEILLE,260.0
1999,MONTPELLIER,257.0
1999,NANCY,162.0
1999,NANTES,119.0
1999,NICE,392.0
1999,RENNES,129.0
1999,ROUEN,65.0
1999,ST ETIENNE,170.0
1999,STRASBOURG,237.0
1999,TOULOUSE,382.0
2000,BORDEAUX,177.0
2000,BREST,241.0
2000,CAEN,106.0
2000,DIJON,99.0
2000,GRENOBLE,182.0
2000,LE HAVRE,114.0
2000,LILLE,58.0
2000,LYON,124.0
2000,MARSEILLE,258.0
2000,MONTPELLIER,259.0
2000,NANCY,156.0
2000,NANTES,119.0
2000,NICE,391.0
2000,RENNES,123.0
2000,ROUEN,65.0
2000,ST ETIENNE,170.0
2000,STRASBOURG,233.0
2000,TOULOUSE,381.0
2001,BORDEAUX,178.0
2001,BREST,255.0
2001,CAEN,112.0
2001,DIJON,96.0
2001,GRENOBLE,174.0
2001,LE HAVRE,115.0
2001,LILLE,58.0
2001,LYON,115.0
2001,MARSEILLE,180.0
2001,MONTPELLIER,197.0
2001,NANCY,158.0
2001,NANTES,119.0
2001,NICE,333.0
2001,RENNES,123.0
2001,ROUEN,66.0
2001,ST ETIENNE,161.0
2001,STRASBOURG,232.0
2001,TOULOUSE,359.0
2002,BORDEAUX,179.0
2002,BREST,247.0
2002,CAEN,104.0
2002,DIJON,97.0
2002,GRENOBLE,173.0
2002,LE HAVRE,110.0
2002,LILLE,59.0
2002,LYON,115.0
2002,MARSEILLE,180.0
2002,MONTPELLIER,194.0
2002,NANCY,163.0
2002,NANTES,119.0
2002,NICE,334.0
2002,RENNES,123.0
2002,ROUEN,65.0
2002,ST ETIENNE,161.0
2002,STRASBOURG,237.0
2002,TOULOUSE,358.0
2003,BORDEAUX,174.0
2003,BREST,243.0
2003,CAEN,104.0
2003,DIJON,97.0
2003,GRENOBLE,173.0
2003,LE HAVRE,110.0
2003,LILLE,59.0
2003,LYON,115.0
2003,MARSEILLE,180.0
2003,MONTPELLIER,196.0
2003,NANCY,164.0
2003,NANTES,119.0
2003,NICE,333.0
2003,RENNES,123.0
2003,ROUEN,66.0
2003,ST ETIENNE,161.0
2003,STRASBOURG,239.0
2003,TOULOUSE,359.0
2004,BORDEAUX,175.0
2004,BREST,243.0
2004,CAEN,104.0
2004,DIJON,97.0
2004,GRENOBLE,173.0
2004,LE HAVRE,114.0
2004,LILLE,59.0
2004,LYON,114.0
2004,MARSEILLE,180.0
2004,MONTPELLIER,196.0
2004,NANCY,163.0
2004,NANTES,119.0
2004,NICE,331.0
2004,RENNES,123.0
2004,ROUEN,66.0
2004,ST ETIENNE,161.0
2004,STRASBOURG,238.0
2004,TOULOUSE,358.0
2005,BORDEAUX,178.0
2005,BREST,243.0
2005,CAEN,105.0
2005,DIJON,98.0
2005,GRENOBLE,175.0
2005,LE HAVRE,114.0
2005,LILLE,59.0
2005,LYON,113.0
2005,MARSEILLE,180.0
2005,MONTPELLIER,196.0
2005,NANCY,162.0
2005,NANTES,119.0
2005,NICE,327.0
2005,RENNES,123.0
2005,ROUEN,65.0
2005,ST ETIENNE,161.0
2005,STRASBOURG,237.0
2005,TOULOUSE,368.0
2006,BORDEAUX,178.0
2006,BREST,243.0
2006,CAEN,105.0
2006,DIJON,95.0
2006,GRENOBLE,175.0
2006,LE HAVRE,118.0
2006,LILLE,58.0
2006,LYON,113.0
2006,MARSEILLE,180.0
2006,MONTPELLIER,196.0
2006,NANCY,160.0
2006,NANTES,119.0
2006,NICE,325.0
2006,RENNES,123.0
2006,ROUEN,68.0
2006,ST ETIENNE,161.0
2006,STRASBOURG,235.0
2006,TOULOUSE,363.0
2007,BORDEAUX,179.0
2007,BREST,252.0
2007,CAEN,104.0
2007,DIJON,97.0
2007,GRENOBLE,175.0
2007,LE HAVRE,115.0
2007,LILLE,58.0
2007,LYON,115.0
2007,MARSEILLE,183.0
2007,MONTPELLIER,198.0
2007,NANCY,90.0
2007,NANTES,119.0
2007,NICE,329.0
2007,RENNES,123.0
2007,ROUEN,66.0
2007,ST ETIENNE,162.0
2007,STRASBOURG,137.0
2007,TOULOUSE,371.0
2008,BORDEAUX,178.0
2008,BREST,252.0
2008,CAEN,107.0
2008,DIJON,96.0
2008,GRENOBLE,179.0
2008,LE HAVRE,115.0
2008,LILLE,58.0
2008,LYON,117.0
2008,MARSEILLE,182.0
2008,MONTPELLIER,198.0
2008,NANCY,90.0
2008,NANTES,119.0
2008,NICE,329.0
2008,RENNES,123.0
2008,ROUEN,68.0
2008,ST ETIENNE,162.0
2008,STRASBOURG,137.0
2008,TOULOUSE,375.0
2009,BORDEAUX,180.0
2009,BREST,262.0
2009,CAEN,107.0
2009,DIJON,97.0
2009,GRENOBLE,175.0
2009,LE HAVRE,115.0
2009,LILLE,58.0
2009,LYON,116.0
2009,MARSEILLE,182.0
2009,MONTPELLIER,198.0
2009,NANCY,90.0
2009,NANTES,119.0
2009,NICE,335.0
2009,RENNES,123.0
2009,ROUEN,68.0
2009,ST ETIENNE,163.0
2009,STRASBOURG,137.0
2009,TOULOUSE,372.0
2010,BORDEAUX,180.0
2010,BREST,256.0
2010,CAEN,107.0
2010,DIJON,97.0
2010,GRENOBLE,175.0
2010,LE HAVRE,115.0
2010,LILLE,58.0
2010,LYON,117.0
2010,MARSEILLE,183.0
2010,MONTPELLIER,198.0
2010,NANCY,90.0
2010,NANTES,120.0
2010,NICE,336.0
2010,RENNES,123.0
2010,ROUEN,70.0
2010,ST ETIENNE,163.0
2010,STRASBOURG,137.0
2010,TOULOUSE,372.0
2011,BORDEAUX,181.0
2011,BREST,249.0
2011,CAEN,107.0
2011,DIJON,94.0
2011,GRENOBLE,176.0
2011,LE HAVRE,115.0
2011,LILLE,59.0
2011,LYON,117.0
2011,MARSEILLE,181.0
2011,MONTPELLIER,199.0
2011,NANCY,89.0
2011,NANTES,123.0
2011,NICE,337.0
2011,RENNES,127.0
2011,ROUEN,71.0
2011,ST ETIENNE,170.0
2011,STRASBOURG,128.0
2011,TOULOUSE,372.0
2012,BORDEAUX,181.0
2012,BREST,249.0
2012,CAEN,114.0
2012,DIJON,91.0
2012,GRENOBLE,176.0
2012,LE HAVRE,115.0
2012,LILLE,59.0
2012,LYON,116.0
2012,MARSEILLE,185.0
2012,MONTPELLIER,199.0
2012,NANCY,89.0
2012,NANTES,124.0
2012,NICE,337.0
2012,RENNES,126.0
2012,ROUEN,68.0
2012,ST ETIENNE,169.0
2012,STRASBOURG,137.0
2012,TOULOUSE,372.0
2013,BORDEAUX,194.0
2013,BREST,251.0
2013,CAEN,108.0
2013,DIJON,92.0
2013,GRENOBLE,176.0
2013,LE HAVRE,115.0
2013,LILLE,59.0
2013,LYON,116.0
2013,MARSEILLE,185.0
2013,MONTPELLIER,199.0
2013,NANCY,88.0
2013,NANTES,124.0
2013,NICE,336.0
2013,RENNES,126.0
2013,ROUEN,69.0
2013,ST ETIENNE,169.0
2013,STRASBOURG,137.0
2013,TOULOUSE,372.0
2014,BORDEAUX,194.0
2014,BREST,251.0
2014,CAEN,108.0
2014,DIJON,92.0
2014,GRENOBLE,176.0
2014,LE HAVRE,115.0
2014,LILLE,59.0
2014,LYON,116.0
2014,MARSEILLE,185.0
2014,MONTPELLIER,199.0
2014,NANCY,88.0
2014,NANTES,125.0
2014,NICE,336.0
2014,RENNES,124.0
2014,ROUEN,69.0
2014,ST ETIENNE,169.0
2014,STRASBOURG,137.0
2014,TOULOUSE,325.0
2015,BORDEAUX,191.0
2015,BREST,247.0
2015,CAEN,109.0
2015,DIJON,91.0
2015,GRENOBLE,180.0
2015,LE HAVRE,125.0
2015,LILLE,59.0
2015,LYON,117.0
2015,MARSEILLE,185.0
2015,MONTPELLIER,199.0
2015,NANCY,88.0
2015,NANTES,123.0
2015,NICE,336.0
2015,RENNES,124.0
2015,ROUEN,68.0
2015,ST ETIENNE,169.0
2015,STRASBOURG,137.0
2015,TOULOUSE,326.0
2016,BORDEAUX,192.0
2016,BREST,247.0
2016,CAEN,110.0
2016,DIJON,91.0
2016,GRENOBLE,181.0
2016,LE HAVRE,124.0
2016,LILLE,59.0
2016,LYON,117.0
2016,MARSEILLE,185.0
2016,MONTPELLIER,199.0
2016,NANCY,90.0
2016,NANTES,123.0
2016,NICE,334.0
2016,RENNES,124.0
2016,ROUEN,68.0
2016,ST ETIENNE,168.0
2016,STRASBOURG,106.0
2016,TOULOUSE,327.0
2017,BORDEAUX,124.0
2017,BREST,205.0
2017,CAEN,110.0
2017,DIJON,91.0
2017,GRENOBLE,181.0
2017,LE HAVRE,124.0
2017,LILLE,61.0
2017,LYON,117.0
2017,MARSEILLE,185.0
2017,MONTPELLIER,199.0
2017,NANCY,91.0
2017,NANTES,116.0
2017,NICE,333.0
2017,RENNES,85.0
2017,ROUEN,68.0
2017,ST ETIENNE,170.0
2017,STRASBOURG,106.0
2017,TOULOUSE,257.0
2018,BORDEAUX,123.0
2018,BREST,193.0
2018,CAEN,110.0
2018,DIJON,94.0
2018,GRENOBLE,169.0
2018,LE HAVRE,123.0
2018,LILLE,58.0
2018,LYON,112.0
2018,MARSEILLE,184.0
2018,MONTPELLIER,201.0
2018,NANCY,88.0
2018,NANTES,116.0
2018,NICE,333.0
2018,RENNES,85.0
2018,ROUEN,69.0
2018,ST ETIENNE,168.0
2018,STRASBOURG,105.0
2018,TOULOUSE,247.0
2019,BORDEAUX,120.0
2019,BREST,193.0
2019,CAEN,109.0
2019,DIJON,93.0
2019,GRENOBLE,169.0
2019,LE HAVRE,124.0
2019,LILLE,57.0
2019,LYON,113.0
2019,MARSEILLE,185.0
2019,MONTPELLIER,200.0
2019,NANCY,89.0
2019,NANTES,116.0
2019,NICE,342.0
2019,RENNES,85.0
2019,ROUEN,70.0
2019,ST ETIENNE,168.0
2019,STRASBOURG,103.0
2019,TOULOUSE,245.0
